date,series_ticker,event_ticker,market_ticker,strike_type,threshold,floor_strike,cap_strike,last_price,yes_bid,yes_ask,no_bid,no_ask,volume,open_interest,result,settlement_value,expiration_value,status,ticker,mu,sigma,model_prob,market_prob,edge,settlement,direction,entry_price,settle_value,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2026-03-22,KXHIGHTSATX,KXHIGHTSATX-26MAR22,KXHIGHTSATX-26MAR22-B90.5,between,90.5,90.0,91.0,0.01,0.0,1.0,0.0,1.0,9485.0,7167.0,no,0.0,92.0,finalized,KXHIGHTSATX,91.46916996240616,0.88969934,0.2496427625408476,0.01,0.2396427625408476,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-22,KXHIGHTSATX,KXHIGHTSATX-26MAR22,KXHIGHTSATX-26MAR22-B92.5,between,92.5,92.0,93.0,0.99,0.0,1.0,0.0,1.0,11424.0,6284.0,yes,1.0,92.0,finalized,KXHIGHTSATX,91.46916996240616,0.88969934,0.23271359186538454,0.99,-0.7572864081346155,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-23,KXHIGHTSATX,KXHIGHTSATX-26MAR23,KXHIGHTSATX-26MAR23-B85.5,between,85.5,85.0,86.0,0.99,0.0,1.0,0.0,1.0,9134.0,6822.0,yes,1.0,86.0,finalized,KXHIGHTSATX,85.66496643225351,0.99608153,0.37949699088388233,0.99,-0.6105030091161177,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-23,KXHIGHTSATX,KXHIGHTSATX-26MAR23,KXHIGHTSATX-26MAR23-T85,less,85.0,,85.0,0.01,0.0,1.0,0.0,1.0,3574.0,2235.0,no,0.0,86.0,finalized,KXHIGHTSATX,85.66496643225351,0.99608153,0.252200119098118,0.01,0.242200119098118,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-24,KXHIGHTSATX,KXHIGHTSATX-26MAR24,KXHIGHTSATX-26MAR24-B87.5,between,87.5,87.0,88.0,0.99,0.0,1.0,0.0,1.0,14185.0,8648.0,yes,1.0,88.0,finalized,KXHIGHTSATX,87.23895171483359,0.99582636,0.37245399660103445,0.99,-0.6175460033989655,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-25,KXHIGHTSATX,KXHIGHTSATX-26MAR25,KXHIGHTSATX-26MAR25-B88.5,between,88.5,88.0,89.0,0.01,0.0,1.0,0.0,1.0,14502.0,12093.0,no,0.0,90.0,finalized,KXHIGHTSATX,89.42238934834798,0.9366935,0.2615761608455184,0.01,0.25157616084551837,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-25,KXHIGHTSATX,KXHIGHTSATX-26MAR25,KXHIGHTSATX-26MAR25-B90.5,between,90.5,90.0,91.0,0.99,0.0,1.0,0.0,1.0,9601.0,6037.0,yes,1.0,90.0,finalized,KXHIGHTSATX,89.42238934834798,0.9366935,0.22266502705090274,0.99,-0.7673349729490972,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-26,KXHIGHTSATX,KXHIGHTSATX-26MAR26,KXHIGHTSATX-26MAR26-B88.5,between,88.5,88.0,89.0,0.99,0.0,1.0,0.0,1.0,9526.0,6644.0,yes,1.0,89.0,finalized,KXHIGHTSATX,89.3237101316452,0.9725455,0.2828798466748068,0.99,-0.7071201533251932,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-26,KXHIGHTSATX,KXHIGHTSATX-26MAR26,KXHIGHTSATX-26MAR26-B90.5,between,90.5,90.0,91.0,0.01,0.0,1.0,0.0,1.0,25334.0,13497.0,no,0.0,89.0,finalized,KXHIGHTSATX,89.3237101316452,0.9725455,0.20101914690177503,0.01,0.19101914690177502,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-27,KXHIGHTSATX,KXHIGHTSATX-26MAR27,KXHIGHTSATX-26MAR27-B90.5,between,90.5,90.0,91.0,0.01,0.0,1.0,0.0,1.0,8481.0,5851.0,no,0.0,89.0,finalized,KXHIGHTSATX,89.08196492989858,0.9497789,0.14515759258478123,0.01,0.13515759258478122,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-27,KXHIGHTSATX,KXHIGHTSATX-26MAR27,KXHIGHTSATX-26MAR27-B88.5,between,88.5,88.0,89.0,0.99,0.0,1.0,0.0,1.0,11349.0,5742.0,yes,1.0,89.0,finalized,KXHIGHTSATX,89.08196492989858,0.9497789,0.3382994158491827,0.99,-0.6517005841508172,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-28,KXHIGHTSATX,KXHIGHTSATX-26MAR28,KXHIGHTSATX-26MAR28-B72.5,between,72.5,72.0,73.0,0.99,0.0,1.0,0.0,1.0,11152.0,6770.0,yes,1.0,73.0,finalized,KXHIGHTSATX,72.52257970571519,1.4045633,0.2781119049646168,0.99,-0.7118880950353832,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-29,KXHIGHTSATX,KXHIGHTSATX-26MAR29,KXHIGHTSATX-26MAR29-B81.5,between,81.5,81.0,82.0,0.01,0.0,1.0,0.0,1.0,3306.0,1865.0,no,0.0,84.0,finalized,KXHIGHTSATX,83.03105007012685,1.0509043,0.1366313692796196,0.01,0.1266313692796196,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-29,KXHIGHTSATX,KXHIGHTSATX-26MAR29,KXHIGHTSATX-26MAR29-B83.5,between,83.5,83.0,84.0,0.99,0.0,1.0,0.0,1.0,7352.0,4129.0,yes,1.0,84.0,finalized,KXHIGHTSATX,83.03105007012685,1.0509043,0.33352518364587547,0.99,-0.6564748163541245,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
2026-03-30,KXHIGHTSATX,KXHIGHTSATX-26MAR30,KXHIGHTSATX-26MAR30-T86,less,86.0,,86.0,0.01,0.0,1.0,0.0,1.0,3953.0,2088.0,no,0.0,89.0,finalized,KXHIGHTSATX,87.16414972146352,0.9644162,0.11369623463812278,0.01,0.10369623463812279,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-30,KXHIGHTSATX,KXHIGHTSATX-26MAR30,KXHIGHTSATX-26MAR30-B86.5,between,86.5,86.0,87.0,0.01,0.0,1.0,0.0,1.0,8478.0,5986.0,no,0.0,89.0,finalized,KXHIGHTSATX,87.16414972146352,0.9644162,0.318727711010048,0.01,0.308727711010048,0.0,YES,1.0,0.0,6.930000000000001,-1.0,-7.930000000000001,17.325000000000003,-19.825000000000003
2026-03-30,KXHIGHTSATX,KXHIGHTSATX-26MAR30,KXHIGHTSATX-26MAR30-B88.5,between,88.5,88.0,89.0,0.99,0.0,1.0,0.0,1.0,23920.0,20555.0,yes,1.0,89.0,finalized,KXHIGHTSATX,87.16414972146352,0.9644162,0.1645738421348858,0.99,-0.8254261578651142,1.0,NO,1.0000000000000009,0.0,6.930000000000001,-1.0000000000000009,-7.9300000000000015,17.325000000000003,-19.825000000000003
